trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.9, 'e': 0.7719999999999998}",20,0,-68.56386092384794,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
77,False,"{'a': 0.9, 'e': 0.7689999999999998}",30,0,-54.4251192172705,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
78,False,"{'a': 0.9, 'e': 0.7659999999999998}",20,0,-96.21147860298615,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.7629999999999998}",25,12,-13.376183024036617,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.7599999999999998}",25,0,-82.68702157297237,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.7569999999999998}",20,0,-96.75977729645766,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.7539999999999998}",30,19,-44.921426619253104,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.9, 'e': 0.7509999999999998}",25,0,-8.27055491141601,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.7479999999999998}",25,3,-114.25468302048587,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 1}",1
85,False,"{'a': 0.9, 'e': 0.7449999999999998}",25,0,-122.66079820364865,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
86,False,"{'a': 0.9, 'e': 0.7419999999999998}",25,2,-117.40748621820651,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",1
87,False,"{'a': 0.9, 'e': 0.7389999999999998}",30,0,-78.37714827583099,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.7359999999999998}",20,8,-41.9357836002697,"{0: 5, 1: 4, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.7329999999999998}",25,0,-75.17423517641373,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
90,False,"{'a': 0.9, 'e': 0.7299999999999998}",30,0,-75.81902310479767,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.9, 'e': 0.7269999999999998}",25,0,-103.08026653957643,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.7239999999999998}",30,11,6.042644551082452,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.7209999999999998}",25,0,-55.177153714050334,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.7179999999999997}",20,5,-15.331628965209735,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.7149999999999997}",30,11,6.2298545651821975,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.7119999999999997}",25,0,-100.12130474461354,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
97,False,"{'a': 0.9, 'e': 0.7089999999999997}",20,0,-56.33151231902887,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.9, 'e': 0.7059999999999997}",20,0,-51.17375866821791,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.7029999999999997}",25,0,-57.08476003283528,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.6999999999999997}",30,0,-101.89102142552271,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
101,False,"{'a': 0.9, 'e': 0.6969999999999997}",25,4,-24.204257599219996,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.6939999999999997}",25,13,-32.25061750145129,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.6909999999999997}",20,0,-51.34864817978911,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.9, 'e': 0.6879999999999997}",20,0,-47.40182381213091,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.6849999999999997}",30,0,-112.70585495326594,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.6819999999999997}",20,0,-82.67968928443736,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.9, 'e': 0.6789999999999997}",20,0,-43.55201861071633,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
108,False,"{'a': 0.9, 'e': 0.6759999999999997}",20,0,-137.4454173527114,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
109,False,"{'a': 0.9, 'e': 0.6729999999999997}",35,0,-52.295731834817204,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.9, 'e': 0.6699999999999997}",20,6,-65.28574650679575,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.9, 'e': 0.6669999999999997}",20,0,-59.446469961197735,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.6639999999999997}",25,0,-85.12247889173858,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
